time_s,time_min,falla_prop_inyectada,falla_remi_inyectada,BIS,BIS_ref,BIS_desde_Ce_real,BIS_desde_Ce_bis,BIS_mas,BIS_menos,age_patient,error,Ce_remi_pred,Ce_remi_corr,Ce_remi_prom,Ce_prop,Ce_remi,Ce_bis,Ce_prop_obs,Ce_remi_obs,Ce_bis_menos,Ce_bis_mas,Ce_bis_inv,Ce_prop_menos,Ce_prop_mas,Ce_remi_menos,Ce_remi_mas,r_prop_sup,r_prop_inf,r_remi_sup,r_remi_inf,fallo_prop,fallo_remi,u_prop_app,u_remi_app,u_prop_cmd,u_remi_cmd
0,0.0,False,False,93.0,50.0,96.2,93.0,93.0,92.99859384556382,74.0,43.0,0.0,0.0,0.06,0.0,0.0,0.0,9.185896487906575e-12,0.0,-0.06003361123466673,0.004932777515969128,7.321432349272073e-12,-0.06003361123466673,0.004932777515969128,-0.06003994062621891,0.00492011874756218,0.004932777506783231,-0.060033611243852626,0.00492011874756218,-0.06003994062621891,False,False,0.0,0.0,6.043972499999999,6.043972499999999
5,0.08333333333333333,False,False,92.99515169190265,50.0,96.1569675605327,92.97915815554757,92.83982082177273,92.31233481197503,74.0,42.99515169190265,0.14742010188281207,0.14889430290164019,-0.027559910939328365,0.01927387911056376,0.06882320395418404,0.0,9.185896487906575e-12,0.14889430290164019,0.01835127399760665,0.07665965839182153,7.321432349272073e-12,0.01835127399760665,0.07665965839182153,0.25375151075794755,0.3119301684916699,0.07665965838263562,0.018351273988420756,0.1630358655900297,0.10485720785630737,False,False,6.043972499999999,6.043972499999999,0.3697635339346066,0.3697635339346066
10,0.16666666666666666,False,False,92.96042603306536,50.0,95.87690266003372,92.92525041196966,92.92536900780414,92.56229259156699,74.0,42.96042603306536,0.2898461698169258,0.29274463151509506,0.2828408396248087,0.05791141935795871,0.2034916716289493,0.0005268644426936545,9.185896487906575e-12,0.29274463151509506,-0.024739929433985803,0.04064469031392859,0.0004241258829551953,-0.024739929433985803,0.04064469031392859,0.2924985954848575,0.35743985245477505,0.040644690304742694,-0.024739929443171698,0.06469522093968,-0.0002460360302375397,False,False,0.3697635339346066,0.3697635339346066,0.3679947800337191,0.3679947800337191
15,0.25,False,False,92.80429939640435,50.0,95.37658379385289,92.80059216759012,92.70971390661545,91.85642247750137,74.0,42.804299396404346,0.42756899327313524,0.4318446832058666,0.3249692239698163,0.09722605868860033,0.33574630787773085,0.01466563384734565,0.005739575742973102,0.4318446832058666,0.010581386939556833,0.07415930720001634,0.011805835251607277,0.010581386939556833,0.07415930720001634,0.48972836429196553,0.5527806409231304,0.06841973145704325,0.004841811196583732,0.12093595771726379,0.057883681086098926,False,False,0.3679947800337191,0.3679947800337191,0.353104021764662,0.353104021764662
20,0.3333333333333333,False,False,92.443836298558,50.0,94.6828123477835,92.43334237797988,92.4869103877964,91.4217886019246,74.0,42.443836298558,0.5605364274697698,0.5661417917444675,0.5212545026075479,0.1371257040544355,0.4654426548565882,0.03856197755084152,0.02830693469486505,0.5661417917444675,0.02249661394714461,0.08986033828151505,0.031042391930486704,0.02249661394714461,0.08986033828151505,0.579575809421326,0.6460646874560869,0.06155340358665,-0.005810320747720438,0.07992289571161937,0.013434017676858478,False,False,0.353104021764662,0.353104021764662,0.3255081931436709,0.3255081931436709
25,0.4166666666666667,False,False,91.85875295547679,50.0,93.8201201900805,91.83735828894224,91.74055792069166,90.39729558894028,74.0,41.85875295547679,0.6883958828821927,0.6952798417110146,0.6128202484387064,0.17744025291679838,0.5921603290936358,0.06827562805098439,0.05652851529803229,0.6952798417110146,0.05864788262681611,0.12613458234046446,0.05496188057682048,0.05864788262681611,0.12613458234046446,0.7287498522919562,0.795213443909294,0.06960606704243216,0.0021193673287838236,0.0999336021982794,0.03347001058094157,False,False,0.3255081931436709,0.3255081931436709,0.29329199065141903,0.29329199065141903
30,0.5,False,False,91.06159140763108,50.0,92.81466045339009,91.02557376976073,91.05600736322384,89.48704433225964,74.0,41.061591407631084,0.8107201297724445,0.8188273310701689,0.7619816481006252,0.21795205058303904,0.7153216417155991,0.10140656290144234,0.08846267219823858,0.8188273310701689,0.08511760283671307,0.15498981595403513,0.08163228314083426,0.08511760283671307,0.15498981595403513,0.8316274229853041,0.9001417764118413,0.06652714375579655,-0.00334506936152551,0.08131444534167243,0.012800091915135203,False,False,0.29329199065141903,0.29329199065141903,0.260882835971756,0.260882835971756
35,0.5833333333333334,False,False,90.07555281090895,50.0,91.6939187923215,90.02181276748864,89.98811422992299,88.20192364605651,74.0,40.075552810908945,0.9271227202139036,0.9363939474160426,0.8658845996985727,0.25843751785265556,0.8343445937916133,0.13663233756948873,0.12297753212724274,0.9363939474160426,0.1219718954063885,0.19270640173823586,0.10998903174499902,0.1219718954063885,0.19270640173823586,0.9540492070278311,1.023212564161323,0.06972886961099312,-0.0010056367208542416,0.08681861674528035,0.017655259611788487,False,False,0.260882835971756,0.260882835971756,0.2298740817345557,0.2298740817345557
40,0.6666666666666666,False,False,88.92796739219969,50.0,90.48552940112768,88.85410978357332,88.92674740595774,86.94520763284979,74.0,38.92796739219969,1.0372933834268432,1.0476663172611116,0.9886308855945771,0.29868646785232283,0.9487111057450507,0.17318504191269718,0.1593507750300887,1.0476663172611116,0.15510345750322843,0.22760261646537563,0.1394139587324844,0.15510345750322843,0.22760261646537563,1.054082185817921,1.124688144781286,0.06825184143528693,-0.004247317526860278,0.07702182752017439,0.006415868556809423,False,False,0.2298740817345557,0.2298740817345557,0.20103378329827917,0.20103378329827917
45,0.75,False,False,87.64811408719702,50.0,89.21610077928251,87.55246480848,87.63331052788452,85.47893342529576,74.0,37.648114087197015,1.1410098876229215,1.1524199864991507,1.0893851652996034,0.3385090515644231,1.057989016249537,0.21056526646153267,0.19706729077488488,1.1524199864991507,0.19279141404275135,0.26641008880391803,0.16950503950870371,0.19279141404275135,0.26641008880391803,1.1577614483861776,1.2292282670154713,0.06934279802903315,-0.004275876732133532,0.0768082805163206,0.005341461887026888,False,False,0.20103378329827917,0.20103378329827917,0.17486043577503882,0.17486043577503882
50,0.8333333333333334,False,False,86.26581403490314,50.0,87.91023950241782,86.14739167466414,86.32658214992144,84.01690833404022,74.0,36.265814034903144,1.2381421266626385,1.250523547929265,1.1934948577008244,0.3777389470335695,1.1618400459092602,0.24840792240531973,0.2357217860710989,1.250523547929265,0.2290530497447863,0.3041393926737338,0.19996837753164984,0.2290530497447863,0.3041393926737338,1.2484989438273362,1.321116151352015,0.0684176066026349,-0.0066687363263125965,0.0705926034227502,-0.0020246041019287286,False,False,0.17486043577503882,0.17486043577503882,0.15167319899510995,0.15167319899510995
55,0.9166666666666666,False,False,84.81015273303663,50.0,86.58984233107435,84.6686044262044,84.90112561021293,82.45895439937733,74.0,34.81015273303663,1.3286513599701493,1.3419378735698508,1.2848075475896756,0.4162349869388988,1.2600220044942956,0.286422547552564,0.2749736877988653,1.3419378735698508,0.2672068683828412,0.34347717117396387,0.23057015077888537,0.2672068683828412,0.34347717117396387,1.3366780271217402,1.4101921710190746,0.0685034833750986,-0.007766819416024084,0.06825429744922373,-0.005259846448110617,False,False,0.15167319899510995,0.15167319899510995,0.1316179767678054,0.1316179767678054
60,1.0,False,False,83.30835500790977,50.0,85.27367815711038,83.1438670186569,83.47309107250311,80.91476058088064,74.0,33.30835500790977,1.4125852107913663,1.42671106289928,1.3734350990704074,0.453881593740913,1.3523867582587608,0.32436734555995694,0.3145271528631383,1.42671106289928,0.30464709913740895,0.3822248424485951,0.2611157131728305,0.30464709913740895,0.3822248424485951,1.415848259295837,1.4903525105771505,0.0676976895854568,-0.009880053725729365,0.06364144767787039,-0.01086280360344305,False,False,0.1316179767678054,0.1316179767678054,0.11467791864681573,0.11467791864681573
65,1.0833333333333333,False,False,81.78491966216409,50.0,83.97724071829856,81.5981144507732,82.00370441157943,79.34843498310713,74.0,31.784919662164086,1.4900690828635608,1.5049697736921963,1.4531003849364938,0.49058812565428594,1.4388744770034925,0.3620378993841434,0.3541226159196412,1.5049697736921963,0.34264379126070144,0.42139500732973595,0.2914405090053606,0.34264379126070144,0.42139500732973595,1.4902782682544182,1.5656522120200647,0.06727239141009472,-0.01147882465893979,0.06068243832786835,-0.014691505437778085,False,False,0.11467791864681573,0.11467791864681573,0.10070018516686785,0.10070018516686785
70,1.1666666666666667,False,False,80.26107074726085,50.0,82.71282456242236,80.05290154489069,80.55323313461292,77.81526343163794,74.0,30.261070747260845,1.561294993558889,1.5769079434944777,1.5279652401372414,0.5262872983609508,1.519504878384252,0.3992619508284695,0.3935332539988849,1.5769079434944777,0.38002139082329767,0.4599794560871386,0.3214058704209947,0.38002139082329767,0.4599794560871386,1.557598037182385,1.6338598768762373,0.06644620208825369,-0.013511863175587224,0.056951933381759634,-0.01930990631209273,False,False,0.10070018516686785,0.10070018516686785,0.08943288982936007,0.08943288982936007
